[INFO 2017-07-12 11:10:25,691 demo.py:154] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, bidirection=False, data='box', display=False, fg_noise=0.1, image_size=32, init_model_path='', learning_rate=0.001, method='unsupervised', motion_range=2, num_frame=3, num_objects=2, save_dir='./', save_display=False, save_display_dir='./', test=False, test_epoch=10, test_gt=False, test_interval=100, train=True, train_epoch=2000)
[INFO 2017-07-12 11:10:27,811 demo.py:65] epoch 0, train loss: 26495.96, average train loss: 26495.96, base loss: 9884.88
[INFO 2017-07-12 11:10:28,214 demo.py:65] epoch 1, train loss: 25769.67, average train loss: 26132.81, base loss: 9896.55
[INFO 2017-07-12 11:10:28,605 demo.py:65] epoch 2, train loss: 24766.44, average train loss: 25677.35, base loss: 9854.57
[INFO 2017-07-12 11:10:28,999 demo.py:65] epoch 3, train loss: 23798.45, average train loss: 25207.63, base loss: 10019.24
[INFO 2017-07-12 11:10:29,392 demo.py:65] epoch 4, train loss: 24044.10, average train loss: 24974.92, base loss: 10166.17
[INFO 2017-07-12 11:10:29,782 demo.py:65] epoch 5, train loss: 22199.96, average train loss: 24512.43, base loss: 10058.87
[INFO 2017-07-12 11:10:30,169 demo.py:65] epoch 6, train loss: 22512.46, average train loss: 24226.72, base loss: 10189.23
[INFO 2017-07-12 11:10:30,563 demo.py:65] epoch 7, train loss: 22042.44, average train loss: 23953.68, base loss: 10144.04
[INFO 2017-07-12 11:10:30,949 demo.py:65] epoch 8, train loss: 21072.28, average train loss: 23633.53, base loss: 10142.83
[INFO 2017-07-12 11:10:31,342 demo.py:65] epoch 9, train loss: 20226.79, average train loss: 23292.85, base loss: 10085.63
[INFO 2017-07-12 11:10:31,733 demo.py:65] epoch 10, train loss: 19948.40, average train loss: 22988.81, base loss: 10078.70
[INFO 2017-07-12 11:10:32,117 demo.py:65] epoch 11, train loss: 18866.51, average train loss: 22645.29, base loss: 10125.15
[INFO 2017-07-12 11:10:32,512 demo.py:65] epoch 12, train loss: 17718.68, average train loss: 22266.32, base loss: 10155.51
[INFO 2017-07-12 11:10:32,899 demo.py:65] epoch 13, train loss: 16835.57, average train loss: 21878.41, base loss: 10192.88
[INFO 2017-07-12 11:10:33,288 demo.py:65] epoch 14, train loss: 16392.84, average train loss: 21512.70, base loss: 10246.59
[INFO 2017-07-12 11:10:33,693 demo.py:65] epoch 15, train loss: 15491.95, average train loss: 21136.41, base loss: 10245.46
[INFO 2017-07-12 11:10:34,090 demo.py:65] epoch 16, train loss: 14603.54, average train loss: 20752.12, base loss: 10235.03
[INFO 2017-07-12 11:10:34,490 demo.py:65] epoch 17, train loss: 13644.12, average train loss: 20357.23, base loss: 10242.68
[INFO 2017-07-12 11:10:34,874 demo.py:65] epoch 18, train loss: 12375.76, average train loss: 19937.15, base loss: 10247.43
[INFO 2017-07-12 11:10:35,269 demo.py:65] epoch 19, train loss: 12419.67, average train loss: 19561.28, base loss: 10285.87
[INFO 2017-07-12 11:10:35,660 demo.py:65] epoch 20, train loss: 11462.00, average train loss: 19175.60, base loss: 10305.03
[INFO 2017-07-12 11:10:36,065 demo.py:65] epoch 21, train loss: 10724.94, average train loss: 18791.48, base loss: 10277.03
[INFO 2017-07-12 11:10:36,467 demo.py:65] epoch 22, train loss: 9608.29, average train loss: 18392.21, base loss: 10294.27
[INFO 2017-07-12 11:10:36,858 demo.py:65] epoch 23, train loss: 9090.28, average train loss: 18004.63, base loss: 10295.05
[INFO 2017-07-12 11:10:37,251 demo.py:65] epoch 24, train loss: 8639.86, average train loss: 17630.04, base loss: 10266.83
[INFO 2017-07-12 11:10:37,639 demo.py:65] epoch 25, train loss: 8209.91, average train loss: 17267.73, base loss: 10241.42
[INFO 2017-07-12 11:10:38,032 demo.py:65] epoch 26, train loss: 7728.79, average train loss: 16914.43, base loss: 10220.16
[INFO 2017-07-12 11:10:38,424 demo.py:65] epoch 27, train loss: 7595.97, average train loss: 16581.63, base loss: 10224.20
[INFO 2017-07-12 11:10:38,822 demo.py:65] epoch 28, train loss: 6957.37, average train loss: 16249.76, base loss: 10196.22
[INFO 2017-07-12 11:10:39,217 demo.py:65] epoch 29, train loss: 6583.47, average train loss: 15927.55, base loss: 10172.99
[INFO 2017-07-12 11:10:39,609 demo.py:65] epoch 30, train loss: 6964.86, average train loss: 15638.43, base loss: 10152.76
[INFO 2017-07-12 11:10:39,995 demo.py:65] epoch 31, train loss: 7118.62, average train loss: 15372.19, base loss: 10182.55
[INFO 2017-07-12 11:10:40,385 demo.py:65] epoch 32, train loss: 6538.44, average train loss: 15104.50, base loss: 10174.99
[INFO 2017-07-12 11:10:40,776 demo.py:65] epoch 33, train loss: 5992.48, average train loss: 14836.50, base loss: 10177.58
[INFO 2017-07-12 11:10:41,164 demo.py:65] epoch 34, train loss: 6550.57, average train loss: 14599.76, base loss: 10180.96
[INFO 2017-07-12 11:10:41,556 demo.py:65] epoch 35, train loss: 5956.88, average train loss: 14359.68, base loss: 10197.24
[INFO 2017-07-12 11:10:41,954 demo.py:65] epoch 36, train loss: 5613.45, average train loss: 14123.29, base loss: 10177.36
[INFO 2017-07-12 11:10:42,353 demo.py:65] epoch 37, train loss: 5853.41, average train loss: 13905.66, base loss: 10191.07
[INFO 2017-07-12 11:10:42,743 demo.py:65] epoch 38, train loss: 5657.26, average train loss: 13694.17, base loss: 10172.68
[INFO 2017-07-12 11:10:43,135 demo.py:65] epoch 39, train loss: 5733.13, average train loss: 13495.14, base loss: 10166.52
[INFO 2017-07-12 11:10:43,524 demo.py:65] epoch 40, train loss: 5719.77, average train loss: 13305.50, base loss: 10171.60
[INFO 2017-07-12 11:10:43,918 demo.py:65] epoch 41, train loss: 5321.94, average train loss: 13115.41, base loss: 10168.47
[INFO 2017-07-12 11:10:44,321 demo.py:65] epoch 42, train loss: 5258.39, average train loss: 12932.69, base loss: 10158.72
[INFO 2017-07-12 11:10:44,715 demo.py:65] epoch 43, train loss: 5335.81, average train loss: 12760.03, base loss: 10157.40
[INFO 2017-07-12 11:10:45,104 demo.py:65] epoch 44, train loss: 5453.03, average train loss: 12597.66, base loss: 10168.33
[INFO 2017-07-12 11:10:45,503 demo.py:65] epoch 45, train loss: 5261.04, average train loss: 12438.16, base loss: 10164.89
[INFO 2017-07-12 11:10:45,895 demo.py:65] epoch 46, train loss: 5251.97, average train loss: 12285.27, base loss: 10174.45
[INFO 2017-07-12 11:10:46,287 demo.py:65] epoch 47, train loss: 4878.16, average train loss: 12130.95, base loss: 10174.56
[INFO 2017-07-12 11:10:46,683 demo.py:65] epoch 48, train loss: 4970.24, average train loss: 11984.81, base loss: 10174.71
[INFO 2017-07-12 11:10:47,073 demo.py:65] epoch 49, train loss: 4917.24, average train loss: 11843.46, base loss: 10175.64
[INFO 2017-07-12 11:10:47,465 demo.py:65] epoch 50, train loss: 4646.74, average train loss: 11702.35, base loss: 10162.51
[INFO 2017-07-12 11:10:47,857 demo.py:65] epoch 51, train loss: 4959.71, average train loss: 11572.68, base loss: 10170.61
[INFO 2017-07-12 11:10:48,250 demo.py:65] epoch 52, train loss: 4953.20, average train loss: 11447.79, base loss: 10178.42
[INFO 2017-07-12 11:10:48,640 demo.py:65] epoch 53, train loss: 4607.40, average train loss: 11321.12, base loss: 10174.27
[INFO 2017-07-12 11:10:49,033 demo.py:65] epoch 54, train loss: 4840.63, average train loss: 11203.29, base loss: 10189.50
[INFO 2017-07-12 11:10:49,426 demo.py:65] epoch 55, train loss: 5081.50, average train loss: 11093.97, base loss: 10195.75
[INFO 2017-07-12 11:10:49,823 demo.py:65] epoch 56, train loss: 4971.07, average train loss: 10986.55, base loss: 10185.65
[INFO 2017-07-12 11:10:50,216 demo.py:65] epoch 57, train loss: 4552.09, average train loss: 10875.61, base loss: 10186.55
[INFO 2017-07-12 11:10:50,608 demo.py:65] epoch 58, train loss: 4452.95, average train loss: 10766.75, base loss: 10186.33
[INFO 2017-07-12 11:10:50,999 demo.py:65] epoch 59, train loss: 4941.78, average train loss: 10669.67, base loss: 10194.00
[INFO 2017-07-12 11:10:51,395 demo.py:65] epoch 60, train loss: 4177.19, average train loss: 10563.24, base loss: 10184.27
[INFO 2017-07-12 11:10:51,789 demo.py:65] epoch 61, train loss: 4456.88, average train loss: 10464.75, base loss: 10174.68
[INFO 2017-07-12 11:10:52,180 demo.py:65] epoch 62, train loss: 4966.83, average train loss: 10377.48, base loss: 10174.09
[INFO 2017-07-12 11:10:52,572 demo.py:65] epoch 63, train loss: 4926.91, average train loss: 10292.31, base loss: 10174.94
[INFO 2017-07-12 11:10:52,958 demo.py:65] epoch 64, train loss: 4730.48, average train loss: 10206.75, base loss: 10177.82
[INFO 2017-07-12 11:10:53,344 demo.py:65] epoch 65, train loss: 4363.46, average train loss: 10118.21, base loss: 10175.86
[INFO 2017-07-12 11:10:53,734 demo.py:65] epoch 66, train loss: 4562.57, average train loss: 10035.29, base loss: 10176.73
[INFO 2017-07-12 11:10:54,122 demo.py:65] epoch 67, train loss: 4674.21, average train loss: 9956.45, base loss: 10168.98
[INFO 2017-07-12 11:10:54,516 demo.py:65] epoch 68, train loss: 4292.17, average train loss: 9874.36, base loss: 10168.16
[INFO 2017-07-12 11:10:54,926 demo.py:65] epoch 69, train loss: 4584.86, average train loss: 9798.80, base loss: 10169.33
[INFO 2017-07-12 11:10:55,322 demo.py:65] epoch 70, train loss: 4319.08, average train loss: 9721.62, base loss: 10165.06
[INFO 2017-07-12 11:10:55,711 demo.py:65] epoch 71, train loss: 4376.94, average train loss: 9647.39, base loss: 10155.18
[INFO 2017-07-12 11:10:56,108 demo.py:65] epoch 72, train loss: 4394.98, average train loss: 9575.44, base loss: 10158.78
[INFO 2017-07-12 11:10:56,501 demo.py:65] epoch 73, train loss: 4594.92, average train loss: 9508.13, base loss: 10162.35
[INFO 2017-07-12 11:10:56,893 demo.py:65] epoch 74, train loss: 4152.26, average train loss: 9436.72, base loss: 10163.54
[INFO 2017-07-12 11:10:57,288 demo.py:65] epoch 75, train loss: 4475.36, average train loss: 9371.44, base loss: 10169.11
